,Value,Mean_Value(10)
457,-45.53228,-45.52594779968262
458,-45.53233,-45.52613597869873
459,-45.532383,-45.526320419311524
460,-45.532433,-45.52650100708008
461,-45.53249,-45.52667778015137
462,-45.53253,-45.52685077667236
463,-45.532585,-45.52702018737793
464,-45.532623,-45.52718601226807
465,-45.53266,-45.527348327636716
466,-45.532707,-45.52750713348389
467,-45.532745,-45.527662391662595
468,-45.53281,-45.52781452178955
469,-45.532856,-45.527963638305664
470,-45.53291,-45.52810977935791
471,-45.53296,-45.528252868652345
472,-45.532997,-45.52839282989502
473,-45.533043,-45.528530006408694
474,-45.533073,-45.5286642074585
475,-45.5331,-45.52879539489746
476,-45.533134,-45.528923721313475
477,-45.53318,-45.52904983520508
478,-45.53321,-45.52917289733887
479,-45.533237,-45.52929340362549
480,-45.533276,-45.52941131591797
481,-45.533318,-45.52952713012695
482,-45.533337,-45.52964023590088
483,-45.533363,-45.5297505569458
484,-45.53341,-45.52985874176025
485,-45.53342,-45.529964447021484
486,-45.533436,-45.530067977905276
487,-45.533478,-45.530169258117674
488,-45.53351,-45.53026851654053
489,-45.53353,-45.53036548614502
490,-45.533558,-45.53046039581299
491,-45.533577,-45.53055324554443
492,-45.53361,-45.530644264221195
493,-45.53364,-45.53073337554932
494,-45.53367,-45.53082042694092
495,-45.5337,-45.53090560913086
496,-45.533722,-45.530988998413086
497,-45.533733,-45.531070671081544
498,-45.53376,-45.53115047454834
499,-45.53377,-45.53122848510742
500,-45.533794,-45.53130500793457
501,-45.533813,-45.53137969970703
502,-45.533833,-45.531452674865726
503,-45.53385,-45.53152416229248
504,-45.533875,-45.53159416198731
505,-45.533886,-45.53166252136231
506,-45.53391,-45.5317293548584
507,-45.533936,-45.53179489135742
508,-45.53396,-45.531859130859374
509,-45.533985,-45.53192211151123
510,-45.534004,-45.531983642578126
511,-45.534027,-45.53204387664795
512,-45.53405,-45.532102813720705
513,-45.534065,-45.532160453796386
514,-45.534073,-45.53221694946289
515,-45.53408,-45.53227222442627
516,-45.534096,-45.53232639312744
517,-45.534107,-45.5323791885376
518,-45.53411,-45.53243068695068
519,-45.534126,-45.53248111724854
520,-45.534145,-45.532530632019046
521,-45.53416,-45.53257915496826
522,-45.53418,-45.53262638092041
523,-45.534195,-45.53267261505127
524,-45.53421,-45.53271800994873
525,-45.53423,-45.53276256561279
526,-45.534233,-45.53280609130859
527,-45.534245,-45.53284854888916
528,-45.534264,-45.5328902053833
529,-45.534283,-45.53293102264404
530,-45.534294,-45.53297107696533
531,-45.53431,-45.5330103302002
532,-45.53432,-45.533048667907714
533,-45.534325,-45.53308620452881
534,-45.53434,-45.53312290191651
535,-45.534348,-45.53315887451172
536,-45.534355,-45.533194084167484
537,-45.53437,-45.53322853088379
538,-45.534386,-45.53326225280762
539,-45.534397,-45.53329517364502
540,-45.534405,-45.5333275604248
541,-45.534416,-45.53335918426514
542,-45.534424,-45.53339023590088
543,-45.53443,-45.53342052459717
544,-45.53443,-45.53345008850098
545,-45.534435,-45.53347915649414
546,-45.534443,-45.5335075378418
547,-45.534447,-45.53353546142578
548,-45.534454,-45.53356262207031
549,-45.534462,-45.53358917236328
550,-45.53447,-45.533615074157716
551,-45.534485,-45.53364059448242
552,-45.534492,-45.53366569519043
553,-45.534492,-45.53369026184082
554,-45.534508,-45.53371440887451
555,-45.534515,-45.53373798370362
556,-45.53452,-45.533760986328126
557,-45.534523,-45.533783416748044
558,-45.534523,-45.53380535125732
559,-45.534527,-45.53382678985596
560,-45.53454,-45.53384784698486
561,-45.534554,-45.53386848449707
562,-45.534565,-45.533888816833496
563,-45.534576,-45.533908729553225
564,-45.53458,-45.533928298950194
565,-45.534588,-45.53394756317139
566,-45.534588,-45.53396636962891
567,-45.534588,-45.5339847946167
568,-45.534588,-45.53400257110596
569,-45.5346,-45.53402000427246
570,-45.534607,-45.53403697967529
571,-45.53461,-45.53405349731445
572,-45.534615,-45.53406967163086
573,-45.534615,-45.53408538818359
574,-45.534615,-45.53410079956055
575,-45.534622,-45.53411602020264
576,-45.53463,-45.53413097381592
577,-45.53463,-45.534145469665525
578,-45.534637,-45.5341597366333
579,-45.534637,-45.534173736572264
580,-45.534645,-45.53418743133545
581,-45.534645,-45.53420070648193
582,-45.534657,-45.534213905334475
583,-45.53466,-45.53422687530517
